household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend
17,1,0,4.0,4.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,4582.069999999977,1,114,1682.0700000000038,37.36,208.74999999999991,683.13,820.8600000000005,10.97,0.0,909.34
18,1,1,2.0,2.0,0.0,0.0,5.0,32.0,5.0,2.5,0.16,5239.839999999964,1,117,3255.6999999999884,175.32,490.91000000000014,0.0,208.89,94.80000000000001,0.0,255.67
19,1,0,5.0,2.0,2.0,1.0,0.0,90.0,0.0,0.0,0.0,8814.039999999935,1,328,4731.389999999988,200.26,483.3600000000007,1070.29,188.86000000000013,31.679999999999996,56.43999999999999,1081.81
20,1,0,4.0,2.0,2.0,0.0,0.0,58.0,0.0,0.0,0.0,5803.589999999976,0,301,2996.0599999999945,0.0,112.01,1098.17,461.30999999999955,0.0,0.0,324.9900000000002
21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.5100000000001,1,23,222.6,0.0,2.98,106.0,206.47000000000003,2.69,0.0,49.489999999999995
22,1,1,6.0,4.0,2.0,0.0,12.0,94.0,12.0,2.0,0.13,4816.069999999968,0,101,2171.9000000000005,470.5700000000001,500.83000000000027,700.4300000000001,317.21999999999997,14.77,0.0,395.6
23,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2639.309999999994,22,90,1543.4000000000012,0.0,99.31000000000002,398.94,366.09000000000003,5.0,0.0,21.67
24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.8100000000027,203,50,719.8200000000007,141.47,38.81,0.0,40.75,0.0,0.0,108.4
25,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2739.199999999996,6,76,1271.3700000000026,37.720000000000006,103.07999999999998,35.0,921.9000000000002,1.0,10.29,110.97
26,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1515.7000000000014,13,87,878.8300000000011,69.28999999999999,75.91,0.0,128.75000000000003,18.23,0.0,61.93
27,1,0,6.0,4.0,2.0,0.0,0.0,116.0,0.0,0.0,0.0,4341.309999999981,0,299,2410.9700000000007,172.48999999999992,73.38999999999997,0.0,1415.7199999999966,3.0,0.0,43.860000000000014
28,1,0,3.0,2.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,1696.790000000003,3,105,916.3700000000005,32.14,93.14,87.03999999999999,312.33000000000004,0.0,23.31,44.25
29,1,1,5.0,2.0,3.0,0.0,1.0,71.0,1.0,0.2,0.01,1216.8200000000018,8,59,869.3600000000005,19.28,4.68,0.0,151.35000000000002,2.5,0.0,30.810000000000002
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.4300000000002,3,23,151.84000000000003,6.6,27.379999999999995,159.53,20.14,0.0,3.87,19.02
31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2551.469999999999,1,36,1420.230000000002,107.35,133.54999999999995,424.5,250.95000000000005,12.79,0.0,84.95
32,1,0,5.0,4.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,2821.6899999999864,7,100,1291.9600000000023,48.56,194.24,587.45,413.33000000000004,61.45000000000001,44.63,12.97
33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.1900000000005,9,42,440.05,17.96,10.690000000000001,90.25,21.9,0.0,33.07,219.54999999999998
34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.5800000000001,14,23,76.59,27.66,4.35,39.0,42.13000000000001,0.0,0.0,47.36
35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.9300000000004,4,52,522.6800000000002,101.34000000000002,20.139999999999997,73.96000000000001,69.39000000000001,12.48,0.0,42.269999999999996
36,1,0,3.0,1.0,2.0,0.0,0.0,53.0,0.0,0.0,0.0,3515.33999999999,1,169,2206.420000000001,149.33,280.3499999999999,23.51,252.36,36.04999999999999,157.06,194.98000000000002
37,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2068.990000000001,8,45,1546.3300000000008,8.84,80.76999999999998,15.74,219.27,3.89,13.92,26.38
38,1,0,1.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,706.1300000000001,35,27,417.4400000000002,19.89,59.84,0.0,132.79999999999995,0.0,4.79,0.0
39,1,0,4.0,4.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,4175.059999999967,13,51,2705.0199999999954,21.509999999999998,300.49000000000024,28.25,308.1600000000001,26.490000000000002,0.0,303.0100000000001
40,1,1,8.0,2.0,4.0,2.0,9.0,104.0,9.0,1.12,0.09,9792.919999999864,0,310,2806.159999999993,148.94000000000003,1023.2300000000006,2156.57,2339.479999999995,215.84000000000006,3.45,486.09000000000043
41,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.309999999997,6,57,1233.0700000000006,12.58,233.68,0.0,165.70000000000002,192.4099999999999,0.0,273.14000000000004
42,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1594.3300000000015,3,70,663.9699999999995,40.7,74.50999999999999,0.0,202.54000000000002,137.10999999999996,0.0,256.79000000000025
43,1,0,3.0,1.0,2.0,0.0,0.0,41.0,0.0,0.0,0.0,838.6900000000013,15,95,256.85,0.0,26.06,100.00999999999999,423.93999999999994,1.99,4.19,15.389999999999999
44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.58,9,31,533.0,46.900000000000006,46.47,0.0,48.82000000000001,2.99,12.92,54.77000000000001
45,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,800.5899999999998,78,56,343.21000000000004,55.71,0.0,0.0,311.04000000000013,0.0,0.0,80.49999999999999
46,1,1,5.0,2.0,3.0,0.0,2.0,77.0,2.0,0.4,0.03,5954.229999999948,1,99,2799.1299999999987,148.73000000000002,555.3900000000004,0.0,1251.1800000000007,28.64,28.669999999999998,280.7400000000001
47,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1977.7600000000039,11,93,1053.7500000000014,116.23,110.15000000000003,0.0,227.19000000000008,16.82,30.479999999999997,220.25
48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0000000000008,11,45,411.2099999999999,0.0,42.180000000000014,84.44,229.25000000000006,14.0,0.0,51.84
49,1,0,3.0,1.0,2.0,0.0,0.0,42.0,0.0,0.0,0.0,4985.229999999971,4,89,2599.5799999999967,224.32999999999998,241.64000000000001,844.86,493.3600000000003,11.36,0.0,331.9
50,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.40000000000006,8,14,189.99000000000004,0.0,3.42,0.0,13.819999999999999,3.34,20.040000000000003,0.0
51,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2543.3899999999953,2,72,1420.2000000000028,415.27000000000004,132.06999999999996,0.0,160.01,0.0,26.64,198.88000000000002
52,1,0,5.0,3.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,4245.679999999966,6,114,2294.6500000000055,234.78,356.8300000000003,339.5899999999999,421.5100000000003,25.240000000000002,20.04,171.01000000000005
53,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1497.2600000000018,0,43,756.1300000000003,14.049999999999999,90.0,157.89000000000001,190.21,0.0,0.0,61.53000000000001
54,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.09000000000002,91,11,78.83000000000001,0.0,0.0,0.0,21.98,0.0,0.0,0.0
55,1,0,3.0,2.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,820.2500000000009,0,111,426.14000000000016,1.75,21.42,0.0,237.33000000000007,21.07,0.0,38.410000000000004
56,1,1,1.0,1.0,0.0,0.0,2.0,16.0,2.0,2.0,0.12,5143.569999999953,4,158,2926.809999999991,203.26000000000005,258.8800000000001,25.7,743.780000000001,37.24,37.63,213.28
57,1,0,3.0,2.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,2434.9899999999993,5,146,846.1500000000009,41.779999999999994,130.46,195.10000000000002,876.8000000000009,99.06,7.38,70.83999999999999
58,1,1,7.0,1.0,6.0,0.0,3.0,105.0,3.0,0.43,0.03,8535.219999999916,1,224,3513.579999999984,432.59000000000003,676.6600000000004,2374.5599999999995,583.2600000000006,41.17000000000001,9.500000000000002,297.58000000000004
59,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.3200000000004,7,34,715.23,80.56,130.16999999999996,72.76,124.69999999999999,0.0,3.44,156.75
60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.78000000000003,350,5,149.22,4.99,12.1,23.21,40.35,0.0,0.0,31.650000000000002
61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.54999999999995,111,9,129.99,4.59,0.0,0.0,23.48,2.5,0.0,0.0
62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.7299999999998,1,27,188.51999999999987,0.0,45.050000000000004,0.0,15.540000000000001,0.98,0.32,18.580000000000002
63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.7000000000003,31,27,185.34,35.230000000000004,2.99,0.0,165.45999999999995,0.0,0.0,0.0
64,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2586.769999999999,0,171,1130.680000000001,40.0,126.22,0.0,544.5000000000001,0.0,0.0,157.22000000000003
65,1,0,5.0,2.0,3.0,0.0,0.0,69.0,0.0,0.0,0.0,1718.0100000000023,4,99,734.6600000000005,16.75,32.040000000000006,0.0,721.9600000000006,0.0,0.0,27.45
66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.7900000000002,23,27,169.75,9.6,6.55,0.0,121.09999999999997,0.0,0.0,11.77
67,1,1,4.0,2.0,2.0,0.0,12.0,69.0,12.0,3.0,0.17,6464.7999999999365,1,152,3650.889999999998,416.74000000000007,668.1700000000006,453.96000000000004,293.1,127.10999999999994,1.92,184.76999999999998
68,1,1,7.0,3.0,3.0,1.0,1.0,119.0,1.0,0.14,0.01,4208.899999999981,0,469,2457.339999999993,106.32,230.14999999999992,389.17999999999995,374.78,7.18,0.0,263.63
69,1,0,6.0,2.0,3.0,1.0,0.0,98.0,0.0,0.0,0.0,4438.379999999973,1,132,2508.809999999998,55.27,202.72000000000003,0.0,287.3700000000002,2.99,2.79,552.8600000000001
70,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.41,8,23,15.87,0.0,0.0,0.0,20.17,0.0,0.0,16.38
71,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2991.039999999994,6,76,805.1400000000002,23.2,128.70999999999995,30.0,1568.060000000001,1.0,26.72,182.04000000000008
72,1,0,4.0,1.0,2.0,1.0,0.0,45.0,0.0,0.0,0.0,5616.109999999926,6,96,3255.7299999999823,132.67000000000002,608.2400000000002,307.49,497.1400000000002,37.11999999999999,2.43,327.02000000000004
73,1,0,3.0,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,2748.8599999999915,71,160,1198.4200000000017,69.17999999999999,131.30999999999995,517.35,553.8500000000004,64.83000000000001,33.57999999999999,0.0
74,1,0,4.0,2.0,2.0,0.0,0.0,53.0,0.0,0.0,0.0,1915.4800000000012,7,123,1031.9100000000005,10.760000000000002,205.53999999999996,0.0,258.96000000000004,6.37,43.26,169.69999999999993
75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.4400000000005,20,48,417.31000000000006,11.44,3.2199999999999998,214.82000000000002,49.41,5.97,0.0,6.91
76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.8700000000002,96,13,130.07999999999998,3.99,38.75,0.0,29.459999999999994,13.97,0.0,18.97
77,1,0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,4550.629999999965,22,69,2919.699999999998,101.55000000000001,365.9200000000003,0.0,430.1900000000003,25.579999999999995,0.0,207.22000000000006
78,1,0,4.0,2.0,2.0,0.0,0.0,59.0,0.0,0.0,0.0,1809.2900000000025,2,162,1220.7800000000013,13.98,74.0,0.0,290.6100000000002,72.81000000000003,2.07,3.68
79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043.669999999995,2,123,1309.300000000001,119.54999999999997,143.72999999999996,98.06,483.6400000000002,167.49999999999997,17.46,101.03
80,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2181.78,0,68,904.2700000000001,138.20000000000002,240.17999999999995,228.46,218.11000000000004,0.0,12.529999999999998,203.2
81,1,0,4.0,2.0,1.0,1.0,0.0,69.0,0.0,0.0,0.0,5264.959999999964,24,134,2922.089999999997,321.90000000000003,117.70999999999998,0.0,656.7199999999998,46.4,2.75,533.6899999999998
82,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.40000000000026,16,40,146.31,0.0,13.63,0.0,17.24,0.0,0.0,270.27
83,1,0,1.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,1021.2600000000004,3,92,500.85999999999996,0.0,87.04000000000002,106.47,213.74999999999997,27.509999999999998,0.0,57.43000000000001
84,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.7200000000014,5,40,559.4100000000007,0.0,10.95,20.01,235.36000000000004,0.0,0.0,6.46
85,1,0,6.0,4.0,2.0,0.0,0.0,96.0,0.0,0.0,0.0,4017.509999999972,5,247,1922.8200000000015,408.4999999999999,188.8,318.45000000000005,488.75999999999993,21.09,24.239999999999995,246.43999999999994
86,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3492.2399999999907,18,40,1973.2800000000016,192.69999999999996,260.0399999999999,0.0,339.80000000000007,5.28,46.580000000000005,159.21999999999997
87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.2600000000008,1,34,269.99000000000007,0.0,70.38,0.0,168.36999999999998,342.2599999999999,0.0,0.0
88,1,1,8.0,2.0,4.0,2.0,5.0,115.0,5.0,0.62,0.04,9584.55999999991,4,177,5764.589999999975,154.56999999999994,386.75000000000034,447.01,1644.0300000000038,40.74999999999999,0.0,308.38
89,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.36000000000004,59,10,22.44,0.0,12.65,0.0,128.26999999999998,0.0,0.0,0.0
90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.13000000000005,3,8,181.70000000000002,1.88,5.640000000000001,0.0,80.92999999999999,0.0,0.0,2.99
91,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2139.8100000000013,0,133,1181.7900000000004,42.27000000000001,56.83000000000001,447.18000000000006,105.98,131.61,0.0,80.17
92,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1192.4400000000014,3,46,529.2600000000001,8.74,207.73000000000005,25.0,81.13999999999999,70.49000000000002,0.0,54.089999999999996
93,1,1,11.0,4.0,6.0,1.0,8.0,192.0,8.0,0.73,0.04,3346.7199999999875,35,106,2314.740000000004,29.430000000000007,168.55000000000004,44.82,437.7100000000004,201.98999999999998,16.439999999999998,0.0
94,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.05000000000013,12,23,66.61000000000001,25.839999999999996,20.349999999999998,10.0,13.14,3.0,24.69,61.70999999999999
95,1,0,3.0,2.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,5000.059999999985,1,241,2491.109999999997,346.23999999999995,234.4200000000002,53.019999999999996,278.42,28.47,7.6499999999999995,388.71000000000004
96,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1155.000000000001,181,57,496.22000000000025,27.67,120.74999999999994,0.0,206.75000000000003,3.98,0.0,270.41
97,1,0,3.0,2.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,4239.179999999985,5,145,2279.749999999999,151.82,170.32999999999996,680.02,265.2200000000001,0.0,0.0,376.24
98,1,0,2.0,1.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,1429.810000000001,0,112,996.0300000000005,10.69,65.59000000000002,0.0,158.04999999999995,21.119999999999997,0.0,96.89999999999999
99,1,1,2.0,2.0,0.0,0.0,2.0,32.0,2.0,1.0,0.06,6064.579999999974,3,230,3399.739999999998,242.74999999999994,697.7999999999997,100.66,568.6500000000003,26.510000000000005,13.420000000000002,296.12999999999994
100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1782.8600000000029,8,26,904.2800000000005,13.29,23.64,261.9,172.06,2.99,0.0,160.95
101,1,1,3.0,2.0,1.0,0.0,2.0,45.0,2.0,0.67,0.04,4737.09999999999,3,147,2760.589999999999,147.01999999999998,91.86999999999998,1035.22,152.2,0.0,0.0,249.79
102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.84000000000003,407,8,184.66000000000005,14.129999999999999,63.86999999999999,0.0,28.369999999999997,2.5,0.0,9.62
103,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,445.2400000000001,66,38,229.23000000000002,22.92,54.150000000000006,0.0,48.76,0.0,0.0,45.17000000000001
104,1,1,6.0,1.0,4.0,1.0,3.0,104.0,3.0,0.5,0.03,3450.099999999987,0,86,2137.3700000000035,93.36999999999998,381.0500000000003,0.0,291.31,0.0,0.0,154.86000000000004
105,1,0,7.0,4.0,3.0,0.0,0.0,116.0,0.0,0.0,0.0,3651.3899999999803,25,113,1942.8500000000054,97.31,313.88000000000017,0.0,63.85000000000003,6.970000000000001,17.39,630.21
106,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.9200000000006,2,31,341.34000000000015,22.95,38.03000000000001,246.32,64.79,10.86,14.179999999999998,15.370000000000001
107,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.5800000000002,21,37,338.5099999999999,15.68,3.7800000000000002,275.64,344.42000000000013,0.0,0.0,76.39
108,1,0,4.0,2.0,2.0,0.0,0.0,57.0,0.0,0.0,0.0,2435.1699999999955,8,53,1035.8800000000008,59.35,315.7200000000002,144.52,414.4000000000001,243.93000000000004,0.0,47.10999999999999
109,1,0,3.0,2.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,2736.519999999992,0,84,1575.820000000002,48.7,264.92,0.0,310.6200000000003,27.580000000000005,0.0,208.67000000000002
110,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2944.679999999991,0,153,1540.2600000000032,8.97,240.45000000000007,417.54,256.5000000000001,5.5,5.19,189.98
111,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.4400000000007,16,45,764.6799999999996,46.120000000000005,141.0,82.4,181.07,15.19,0.0,62.040000000000006
112,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1053.2400000000005,0,62,340.67000000000013,12.2,25.29,327.65000000000003,216.85000000000005,0.0,0.0,7.73
113,1,1,7.0,2.0,4.0,1.0,1.0,79.0,1.0,0.14,0.01,11898.579999999924,5,178,5556.029999999955,253.07000000000002,1239.1900000000012,2176.45,1122.6600000000008,116.58999999999999,3.5200000000000005,307.93
114,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2580.289999999992,7,72,1400.940000000001,8.52,74.8,135.28,342.83000000000027,111.69000000000003,2.55,87.42
115,1,1,7.0,2.0,4.0,1.0,12.0,103.0,12.0,1.71,0.12,10121.399999999881,0,152,4243.509999999987,261.97,452.9700000000004,1564.72,2354.1099999999988,22.740000000000002,31.13,270.42
116,1,0,2.0,1.0,1.0,0.0,0.0,49.0,0.0,0.0,0.0,557.0100000000003,5,70,424.55000000000024,0.0,42.64000000000001,0.0,1.0,0.0,0.0,52.18
117,1,1,5.0,3.0,1.0,1.0,6.0,93.0,6.0,1.2,0.06,2213.3800000000015,3,81,1296.110000000001,1.5,320.09000000000003,67.85,183.97,16.53,0.0,131.61999999999998
118,1,0,4.0,2.0,2.0,0.0,0.0,62.0,0.0,0.0,0.0,3542.3499999999813,8,75,2177.020000000007,40.92,285.31000000000023,421.06,270.86,90.05,6.79,28.439999999999998
119,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1813.2900000000036,0,45,850.1500000000009,122.57999999999998,137.03999999999996,0.0,385.7200000000002,20.04,8.18,8.36
120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.21000000000004,108,17,41.72,5.98,1.5,44.8,54.61000000000001,0.67,76.93,0.0
121,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2059.400000000006,7,101,1068.0400000000016,32.56,56.33,0.0,121.53,0.0,0.0,408.07000000000005
122,1,0,4.0,4.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,2257.1400000000012,0,123,1056.170000000001,60.4,21.5,0.0,388.17000000000013,0.0,17.049999999999997,509.86999999999995
123,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2928.749999999992,0,154,1378.3000000000036,31.679999999999993,164.8200000000001,245.3,46.280000000000015,18.220000000000002,51.489999999999995,606.6800000000002
124,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.6900000000003,29,51,253.95999999999998,22.07,32.35000000000001,0.0,146.87,16.98,0.0,52.78
125,1,1,6.0,4.0,1.0,1.0,2.0,101.0,2.0,0.33,0.02,8636.13999999994,1,284,3274.5799999999945,238.3400000000001,175.75999999999996,1389.5199999999998,1105.250000000001,1.99,45.29,239.07999999999996
126,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.6500000000004,13,27,433.06000000000006,32.879999999999995,14.96,20.0,37.660000000000004,0.0,0.0,63.9
127,1,1,2.0,1.0,0.0,1.0,1.0,42.0,1.0,0.5,0.02,3301.609999999989,6,143,1502.8200000000013,22.67,240.1300000000001,543.4599999999999,281.8700000000001,5.29,48.169999999999995,350.09999999999985
128,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0900000000003,0,15,149.32000000000005,28.1,107.83999999999999,0.0,49.830000000000005,0.0,0.0,19.35
129,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.92999999999995,12,35,240.91,0.75,55.87,0.0,60.830000000000005,1.19,4.9,13.12
130,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6200000000001,248,20,175.31000000000006,15.76,16.509999999999998,72.01,85.98,0.0,7.84,86.11000000000001
131,1,0,5.0,4.0,1.0,0.0,0.0,79.0,0.0,0.0,0.0,5259.809999999968,0,316,2300.51,186.46999999999997,348.11000000000024,307.02,1189.8700000000003,22.609999999999996,2.8200000000000003,386.4100000000001
132,1,0,5.0,3.0,2.0,0.0,0.0,99.0,0.0,0.0,0.0,2414.809999999999,14,85,1116.6200000000008,201.26000000000005,283.1799999999999,27.0,82.33,6.48,11.93,417.9399999999999
133,1,0,3.0,2.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,2984.6299999999874,3,61,1448.9700000000005,176.87,479.87000000000035,0.0,324.69000000000005,40.800000000000004,8.69,207.57999999999996
134,1,0,4.0,4.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,4473.269999999973,15,71,2666.6499999999946,159.32000000000002,242.1200000000001,51.79,343.84000000000015,12.950000000000001,2.3,362.68
