household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc,campA_26_converted,campA_30_converted,campA_8_converted,campA_13_converted,campA_18_converted,campB_28_converted,campB_29_converted,campB_1_converted,campB_2_converted,campB_4_converted,campB_5_converted,campB_7_converted,campB_9_converted,campB_10_converted,campB_12_converted,campB_11_converted,campB_16_converted,campB_17_converted,campB_19_converted,campB_22_converted,campB_21_converted,campB_23_converted,campB_25_converted,campB_24_converted,campC_27_converted,campC_3_converted,campC_6_converted,campC_14_converted,campC_15_converted,campC_20_converted,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment
208,1,1,6.0,4.0,2.0,0.0,1.0,116.0,1.0,0.17,0.01,3443.0699999999897,8,109,1672.2000000000048,111.88,236.34,405.58,254.49,0.0,0.0,559.3300000000002,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
221,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2265.65,6,63,1503.510000000002,298.3299999999998,26.280000000000005,31.03,157.4,0.0,0.0,5.18,65+,U,15-24K,Unknown,Unknown,1,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
281,1,0,5.0,4.0,0.0,1.0,0.0,66.0,0.0,0.0,0.0,1302.5000000000025,7,72,768.6400000000003,39.68,240.98000000000008,23.44,40.34000000000001,0.0,0.0,130.24,35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,Low-value
314,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.580000000005,6,31,1177.7900000000004,121.56999999999998,187.01999999999992,0.0,321.44,32.2,3.35,34.809999999999995,45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
329,1,0,4.0,2.0,2.0,0.0,0.0,52.0,0.0,0.0,0.0,2114.440000000006,5,116,1112.860000000001,56.2,283.0399999999999,0.0,346.38000000000017,7.34,46.48,57.86000000000002,25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
362,1,1,2.0,2.0,0.0,0.0,2.0,32.0,2.0,1.0,0.06,2465.9199999999964,4,77,1221.0800000000008,56.61,278.1500000000001,0.0,240.0300000000001,1.79,0.0,74.31,65+,U,50-74K,Unknown,Single Male,1,None/Unknown,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
377,1,0,3.0,2.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,2334.089999999997,5,109,1565.6100000000029,74.58999999999997,237.79000000000008,0.0,53.01000000000001,4.69,24.07,234.92,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
390,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1483.160000000003,4,85,700.5900000000003,62.02,49.45,23.26,337.4000000000002,7.4700000000000015,24.16,104.38,45-54,B,25-34K,Renter,Single Female,1,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
391,1,0,1.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,1394.180000000001,5,45,841.7300000000008,27.250000000000004,40.78,0.0,354.18000000000006,0.0,0.0,52.58,65+,B,25-34K,Unknown,Single Female,1,None/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
409,1,0,7.0,3.0,4.0,0.0,0.0,105.0,0.0,0.0,0.0,3333.0299999999934,5,104,2069.840000000006,26.439999999999994,341.85000000000025,309.56000000000006,174.28000000000003,37.59,4.51,208.2,19-24,B,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
412,1,1,2.0,1.0,1.0,0.0,4.0,31.0,4.0,2.0,0.13,1922.4900000000039,4,85,999.2199999999997,108.91999999999996,132.33,20.0,98.83,31.160000000000004,131.53,143.63,65+,A,15-24K,Homeowner,Single Female,2,None/Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
428,1,0,3.0,2.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,3027.5999999999967,7,87,2421.6000000000035,46.6,147.69,0.0,94.18999999999998,0.0,0.0,124.78999999999996,19-24,U,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2703.5699999999993,7,46,1432.6300000000006,5.18,301.7300000000003,0.0,309.3300000000001,3.5,0.0,330.79,35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
443,1,1,3.0,2.0,1.0,0.0,2.0,50.0,2.0,0.67,0.04,2010.720000000004,4,78,1342.160000000002,58.61000000000002,121.93999999999998,0.0,75.22,54.77,0.0,191.62,45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
458,1,1,4.0,2.0,2.0,0.0,2.0,65.0,2.0,0.5,0.03,1337.4200000000005,5,100,925.5599999999993,12.37,104.67999999999998,74.84,72.9,11.98,0.0,29.2,55-64,A,35-49K,Homeowner,Single Female,2,None/Unknown,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
462,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1279.5000000000011,4,82,717.1800000000006,81.23000000000002,146.07,0.0,106.05,17.770000000000003,0.0,82.66,65+,U,100-124K,Unknown,Single Male,1,None/Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
483,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2160.380000000001,5,76,1312.8500000000013,50.9,51.08,0.0,215.42000000000004,5.0,0.0,273.92,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
491,1,0,4.0,2.0,2.0,0.0,0.0,53.0,0.0,0.0,0.0,3463.369999999976,8,92,1116.0600000000004,47.47,264.24000000000007,495.82,1040.9900000000011,54.45000000000001,12.05,70.95,45-54,A,75-99K,Unknown,Single Female,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
518,1,1,3.0,2.0,1.0,0.0,3.0,51.0,3.0,1.0,0.06,3607.2699999999827,9,121,2137.71,220.22,147.93,43.78,505.60000000000025,5.67,2.94,297.61000000000007,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
542,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1834.0600000000022,9,98,1074.7900000000013,53.40000000000001,51.62999999999999,181.02,135.76000000000002,0.0,3.35,154.09000000000003,25-34,U,35-49K,Unknown,Single Female,1,None/Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
546,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,3119.359999999995,7,117,1829.330000000003,11.29,52.83000000000001,520.87,116.67,0.0,0.0,208.2,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
596,1,1,3.0,2.0,1.0,0.0,1.0,45.0,1.0,0.33,0.02,2353.429999999999,5,97,1138.050000000002,17.5,211.83000000000007,20.0,163.44000000000003,0.0,0.0,341.18,45-54,A,15-24K,Homeowner,1 Adult Kids,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
606,1,0,3.0,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,2749.4299999999907,9,80,1544.7700000000034,0.0,389.0200000000004,63.49,436.2000000000001,16.33,0.0,125.36,45-54,U,35-49K,Probable Renter,Unknown,1,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
623,1,0,4.0,2.0,0.0,2.0,0.0,59.0,0.0,0.0,0.0,3771.0099999999907,8,110,2305.979999999999,560.4300000000002,80.91,278.0,309.93,0.0,0.0,68.49,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,Low-value
692,1,1,3.0,2.0,1.0,0.0,1.0,50.0,1.0,0.33,0.02,2986.259999999988,9,97,1449.7200000000007,59.75000000000001,234.39000000000013,336.81,411.42000000000013,36.61000000000001,0.0,213.0600000000001,65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
732,1,0,6.0,2.0,4.0,0.0,0.0,108.0,0.0,0.0,0.0,3092.4899999999943,6,85,2116.0200000000013,44.5,270.88000000000005,144.86,30.93,62.57,0.48,145.85,55-64,A,75-99K,Homeowner,2 Adults Kids,4,2,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
733,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1873.37,4,60,1287.2299999999996,6.17,31.78,0.0,486.42000000000013,12.96,2.84,9.48,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
741,1,0,2.0,1.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,2484.929999999997,7,67,1001.480000000001,80.08000000000001,280.8300000000001,77.22999999999998,262.8300000000001,37.89999999999999,0.0,532.06,65+,U,50-74K,Homeowner,2 Adults Kids,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
790,1,0,1.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,1908.440000000003,8,40,1310.5200000000016,17.05,20.16,48.17,380.84000000000015,1.99,0.0,0.0,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
802,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1912.4400000000023,6,53,947.0700000000003,88.5,88.12000000000002,0.0,451.13000000000017,4.0,113.72,172.31,65+,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
803,1,0,2.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1545.2600000000039,7,49,977.6300000000003,3.82,157.55999999999997,0.0,68.77,0.0,0.0,237.94000000000003,25-34,U,75-99K,Unknown,2 Adults No Kids,2,None/Unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
823,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2070.68,7,94,878.2300000000008,85.27,125.04999999999998,241.01,320.6900000000001,0.0,41.03,222.98,35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
852,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.760000000003,5,78,667.4000000000002,35.540000000000006,281.60000000000014,0.0,321.7000000000001,14.010000000000002,0.0,40.65000000000001,25-34,U,35-49K,Unknown,2 Adults Kids,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.6400000000015,4,56,794.3899999999994,55.76000000000001,152.54999999999995,0.0,88.16,115.61999999999996,0.0,0.0,25-34,U,25-34K,Unknown,2 Adults Kids,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
981,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.65,8,30,603.5200000000004,26.82,187.36,0.0,94.56000000000002,5.0,0.0,24.45,45-54,A,25-34K,Homeowner,Single Female,2,None/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
992,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.20000000000016,4,42,272.47,7.78,26.29,0.0,122.87999999999997,6.57,12.549999999999995,3.42,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
997,1,0,8.0,2.0,4.0,2.0,0.0,133.0,0.0,0.0,0.0,3583.4599999999896,7,79,2391.600000000001,31.450000000000006,158.17000000000004,73.75,525.8700000000003,32.90000000000001,45.86,157.62000000000003,45-54,U,75-99K,Homeowner,Single Male,1,None/Unknown,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,Low-value
1003,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2521.589999999995,4,61,1074.4000000000017,166.81000000000003,134.4799999999999,0.0,207.49000000000004,5.42,0.0,426.88000000000005,35-44,U,25-34K,Unknown,Single Female,1,None/Unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1012,1,1,4.0,4.0,0.0,0.0,1.0,64.0,1.0,0.25,0.02,2157.7299999999977,5,116,1009.88,49.53000000000002,84.60000000000002,262.82,356.10000000000014,43.540000000000006,90.88,64.72,35-44,A,35-49K,Unknown,Unknown,5+,3+,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1021,1,0,1.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,1846.8500000000033,5,83,1066.34,51.42000000000001,128.43999999999994,0.0,276.94,22.329999999999995,0.0,71.72,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1069,1,0,6.0,2.0,4.0,0.0,0.0,90.0,0.0,0.0,0.0,2981.4999999999986,9,46,1320.520000000002,41.36,131.82999999999998,0.0,718.0300000000008,22.72,0.0,434.50000000000006,25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1120,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1627.1400000000021,8,79,1023.5800000000003,54.87000000000001,91.39,32.28,135.35999999999993,17.81,0.0,110.13,35-44,B,Under 15K,Renter,2 Adults Kids,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.19000000000017,6,45,318.43999999999994,0.0,10.72,26.0,47.28,2.0,0.0,24.23,45-54,U,50-74K,Unknown,Unknown,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1160,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,3537.6099999999865,8,113,2001.2400000000039,109.49999999999996,139.96999999999997,168.98,95.23000000000002,1.0,34.23,616.2799999999999,65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1188,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2271.7200000000007,4,93,1517.6600000000021,16.93,64.28,31.01,139.04,11.98,36.44,78.69,45-54,U,35-49K,Renter,Unknown,1,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1270,1,0,2.0,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,2529.019999999997,5,59,1093.810000000001,38.09,365.1800000000002,0.0,334.0600000000001,6.98,0.0,475.75000000000017,45-54,U,15-24K,Unknown,Single Female,1,None/Unknown,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1291,1,0,3.0,2.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,2616.349999999993,8,85,1498.5800000000022,119.28,197.0300000000001,0.0,357.28000000000026,36.98999999999999,13.39,173.68999999999997,55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1296,1,0,3.0,2.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,1675.5800000000027,4,65,1027.0500000000006,74.64,130.12,0.0,163.95,1.67,97.06000000000004,55.50999999999999,65+,A,25-34K,Homeowner,Single Female,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1316,1,0,4.0,2.0,2.0,0.0,0.0,63.0,0.0,0.0,0.0,2879.629999999992,9,49,1817.5900000000026,6.0,131.20999999999995,19.46,214.96000000000006,0.0,7.85,171.94,55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1357,1,1,3.0,2.0,1.0,0.0,2.0,65.0,2.0,0.67,0.03,2502.6599999999976,9,71,1454.4099999999994,0.0,13.59,183.91000000000003,747.6100000000004,4.0,0.0,0.0,55-64,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1363,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3093.199999999981,7,45,1369.6400000000015,181.46,244.03000000000003,27.0,484.39,13.56,63.39999999999999,477.32,25-34,U,15-24K,Unknown,1 Adult Kids,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1389,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1997.7100000000034,5,32,1111.9400000000007,126.0,89.55000000000004,0.0,448.1100000000001,6.68,3.51,26.17,65+,A,100-124K,Homeowner,Single Female,2,None/Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
1429,1,1,1.0,0.0,1.0,0.0,1.0,18.0,1.0,1.0,0.06,594.1200000000001,9,61,453.7600000000001,0.0,12.43,0.0,124.93999999999996,0.0,0.0,0.0,45-54,B,35-49K,Renter,Single Female,1,None/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
