household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
27,1,0,7.0,5.0,2.0,0.0,0.0,132.0,0.0,0.0,0.0,5736.239999999942,0,405,3367.309999999988,183.60999999999993,74.21999999999997,0.0,1790.429999999994,3.0,0.0,48.04000000000002,3,2,2,7,High-value,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown
31,1,1,2.0,0.0,2.0,0.0,2.0,20.0,2.0,1.0,0.1,4396.899999999988,1,69,2129.310000000006,197.85999999999993,292.82000000000005,780.9,607.3400000000003,15.29,0.0,201.26000000000002,3,0,1,4,Mid-value,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
39,1,0,5.0,4.0,1.0,0.0,0.0,82.0,0.0,0.0,0.0,5033.659999999946,26,64,3291.679999999988,36.480000000000004,339.2500000000003,28.25,408.05000000000024,43.85,0.0,354.48000000000013,3,0,1,4,Mid-value,35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
40,1,1,11.0,3.0,6.0,2.0,14.0,147.0,14.0,1.27,0.1,12907.88999999986,1,400,3653.0299999999806,148.94000000000003,1291.2300000000007,2873.99,3060.6899999999832,271.6600000000001,3.45,645.1100000000001,3,2,3,8,High-value,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
42,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1985.8600000000038,1,89,883.2899999999988,58.32000000000001,81.68,0.0,256.2300000000001,140.60999999999996,0.0,322.19000000000045,3,0,0,3,Low-value,65+,U,50-74K,Unknown,Single Male,1,None/Unknown
43,1,0,5.0,2.0,3.0,0.0,0.0,68.0,0.0,0.0,0.0,884.8400000000015,1,106,290.3300000000001,0.0,29.049999999999997,100.00999999999999,432.83,1.99,4.19,15.389999999999999,3,0,0,3,Low-value,35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+
46,1,1,9.0,3.0,5.0,1.0,2.0,156.0,2.0,0.22,0.01,8433.429999999895,0,137,4183.729999999985,226.2600000000001,756.5100000000007,0.0,1644.4600000000012,38.64,28.669999999999998,344.5100000000001,3,1,2,6,Mid-value,45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+
48,1,0,2.0,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,1172.8300000000013,2,50,539.48,0.0,51.54000000000003,84.44,262.17000000000013,29.360000000000007,0.0,97.37000000000002,3,0,0,3,Low-value,19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
49,1,0,6.0,2.0,4.0,0.0,0.0,77.0,0.0,0.0,0.0,6445.029999999949,9,121,3362.0899999999897,253.29999999999998,293.9600000000001,993.91,608.8700000000003,11.36,0.0,513.0,3,1,2,6,Mid-value,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
52,1,0,6.0,3.0,3.0,0.0,0.0,96.0,0.0,0.0,0.0,5487.2799999999415,0,139,3001.629999999995,304.42999999999995,531.1500000000005,382.31999999999994,474.1400000000003,36.220000000000006,20.04,177.59000000000006,3,1,1,5,Mid-value,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
55,1,0,4.0,3.0,1.0,0.0,0.0,66.0,0.0,0.0,0.0,1072.7900000000006,8,141,554.6700000000004,9.88,31.110000000000007,0.0,313.15000000000015,28.57,0.0,43.06,3,1,0,4,Mid-value,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
56,1,1,2.0,1.0,1.0,0.0,2.0,34.0,2.0,1.0,0.06,6691.529999999927,2,201,3721.9599999999755,243.97000000000006,375.14000000000044,25.7,1006.9300000000014,68.37,44.85,326.56000000000006,3,1,2,6,Mid-value,55-64,A,100-124K,Homeowner,2 Adults Kids,4,2
57,1,0,4.0,3.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,3105.8699999999885,2,194,1089.2600000000018,61.69999999999999,161.29000000000002,273.1,1059.3900000000012,169.87000000000003,11.729999999999999,72.85999999999999,3,1,1,5,Mid-value,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
58,1,1,10.0,2.0,8.0,0.0,7.0,160.0,7.0,0.7,0.04,10367.07999999992,0,268,4321.919999999975,523.2300000000001,878.0900000000007,2808.2799999999993,681.3600000000007,68.92000000000002,10.500000000000002,361.5500000000002,3,1,2,6,Mid-value,25-34,A,150-174K,Homeowner,2 Adults Kids,4,2
67,1,1,8.0,3.0,5.0,0.0,33.0,141.0,33.0,4.12,0.23,9618.899999999912,2,227,5426.219999999983,520.0600000000001,846.0600000000011,741.1800000000001,615.9200000000004,184.59999999999997,1.92,284.32000000000005,3,1,2,6,Mid-value,45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+
71,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,3376.0299999999893,0,90,1001.03,31.139999999999997,141.25999999999996,30.0,1674.7900000000013,1.0,26.72,207.4100000000001,3,0,1,4,Mid-value,35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown
74,1,0,5.0,3.0,2.0,0.0,0.0,69.0,0.0,0.0,0.0,2047.6400000000028,55,131,1114.010000000002,12.190000000000001,225.06000000000003,0.0,267.95000000000005,6.37,49.99,174.82999999999993,2,1,0,3,Low-value,65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
77,1,1,2.0,1.0,1.0,0.0,1.0,30.0,1.0,0.5,0.03,6227.0999999999485,1,87,3991.019999999985,108.54,456.94000000000034,0.0,595.1800000000006,67.52000000000001,0.0,295.2100000000001,3,0,2,5,Mid-value,35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+
78,1,0,5.0,3.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,2505.139999999994,2,210,1666.370000000004,13.98,106.91999999999999,0.0,376.73000000000036,108.25000000000001,2.07,3.68,3,1,1,5,Mid-value,55-64,U,25-34K,Unknown,Single Male,1,None/Unknown
80,1,1,2.0,1.0,1.0,0.0,1.0,27.0,1.0,0.5,0.04,3002.0899999999933,17,94,1358.1000000000017,169.18000000000004,267.93,307.21000000000004,295.9100000000001,2.0,22.099999999999998,255.87,3,0,1,4,Mid-value,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
85,1,0,8.0,5.0,2.0,1.0,0.0,136.0,0.0,0.0,0.0,4696.4899999999625,1,282,2369.940000000002,414.9899999999999,216.85000000000005,318.45000000000005,543.14,44.660000000000004,24.239999999999995,272.17999999999995,3,2,1,6,Mid-value,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown
86,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,4019.439999999983,38,46,2315.049999999999,207.60999999999999,289.83,0.0,414.97000000000014,5.28,54.080000000000005,180.98999999999995,3,0,1,4,Mid-value,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown
97,1,0,4.0,2.0,2.0,0.0,0.0,65.0,0.0,0.0,0.0,5323.949999999978,5,180,2831.0299999999957,170.18999999999997,209.62,914.2999999999998,361.3000000000001,0.0,0.0,469.25000000000006,3,1,1,5,Mid-value,45-54,U,75-99K,Unknown,Single Female,1,None/Unknown
98,1,0,2.0,1.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,2547.2999999999984,1,205,1878.2900000000027,16.68,81.11000000000003,0.0,291.27,30.04,0.0,106.17999999999999,3,1,1,5,Mid-value,35-44,U,35-49K,Unknown,1 Adult Kids,2,1
101,1,1,5.0,3.0,2.0,0.0,5.0,78.0,5.0,1.0,0.06,6651.579999999985,3,242,3923.7499999999955,229.62,114.05999999999996,1485.87,195.67999999999998,0.0,0.0,327.84000000000003,3,1,2,6,Mid-value,45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2
104,1,1,8.0,2.0,4.0,2.0,4.0,144.0,4.0,0.5,0.03,6546.739999999967,0,128,3628.6399999999976,128.56999999999996,586.7500000000006,46.01,1065.4899999999977,0.0,0.0,224.79000000000002,3,1,2,6,Mid-value,35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+
105,1,1,8.0,5.0,3.0,0.0,8.0,132.0,8.0,1.0,0.06,4591.66999999997,1,169,2433.4200000000064,97.31,345.5000000000002,0.0,190.12000000000003,12.190000000000001,54.989999999999995,710.3600000000001,3,1,1,5,Mid-value,25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2
109,1,0,4.0,3.0,1.0,0.0,0.0,66.0,0.0,0.0,0.0,3501.069999999974,3,104,2050.660000000004,51.99,377.8000000000002,0.0,350.2900000000003,44.140000000000015,0.0,281.9100000000001,3,0,1,4,Mid-value,25-34,A,15-24K,Homeowner,Single Female,2,None/Unknown
110,1,0,4.0,3.0,1.0,0.0,0.0,59.0,0.0,0.0,0.0,3461.319999999985,0,185,1767.2900000000043,21.75,308.2100000000003,477.54,311.15000000000015,5.5,5.19,206.32,3,1,1,5,Mid-value,25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown
113,1,1,11.0,3.0,6.0,2.0,2.0,153.0,2.0,0.18,0.01,15324.949999999939,2,223,7333.929999999912,355.1200000000001,1549.680000000002,2472.0299999999993,1611.3800000000017,130.85999999999999,3.5200000000000005,419.17999999999995,3,1,3,7,High-value,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2
114,1,0,4.0,4.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,3315.6299999999815,3,88,1819.0100000000023,71.0,96.69,135.28,457.3500000000005,120.27000000000004,2.55,100.32,3,0,1,4,Mid-value,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
117,1,1,7.0,4.0,2.0,1.0,7.0,130.0,7.0,1.0,0.05,2568.2099999999996,0,94,1558.690000000003,1.5,349.18000000000006,67.85,218.30000000000007,16.53,0.0,144.75,3,0,1,4,Mid-value,65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown
118,1,0,5.0,3.0,2.0,0.0,0.0,78.0,0.0,0.0,0.0,4526.209999999961,4,90,2829.299999999998,53.46,401.3000000000005,441.06,357.34000000000015,126.03,6.79,48.589999999999996,3,0,1,4,Mid-value,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown
119,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2593.009999999995,2,62,1192.610000000002,206.56000000000003,192.52000000000004,0.0,541.2300000000004,25.03,8.18,46.64,3,0,1,4,Mid-value,45-54,U,125-149K,Unknown,Single Male,1,None/Unknown
121,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2225.5800000000054,42,112,1128.9300000000012,32.56,81.79999999999998,62.0,126.02,0.0,0.0,418.40000000000003,3,1,0,4,Mid-value,45-54,U,25-34K,Unknown,2 Adults Kids,3,1
123,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,3222.649999999986,20,174,1591.110000000005,31.679999999999993,171.87000000000012,245.3,46.280000000000015,18.220000000000002,59.18,644.0100000000004,3,1,1,5,Mid-value,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
127,1,1,4.0,2.0,0.0,2.0,4.0,82.0,4.0,1.0,0.05,4658.229999999972,0,191,2124.6000000000045,34.06,340.2900000000002,743.8100000000001,455.9400000000003,5.29,48.169999999999995,462.3199999999998,3,1,1,5,Mid-value,45-54,U,25-34K,Unknown,Single Female,1,None/Unknown
131,1,0,7.0,5.0,2.0,0.0,0.0,106.0,0.0,0.0,0.0,6156.219999999956,2,354,2829.619999999996,186.46999999999997,394.23000000000025,307.02,1390.9900000000014,22.609999999999996,2.8200000000000003,448.67,3,2,2,7,High-value,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
133,1,0,4.0,3.0,1.0,0.0,0.0,63.0,0.0,0.0,0.0,3823.8899999999708,5,75,1879.3800000000022,205.67000000000002,619.8300000000006,0.0,395.8600000000002,62.31,8.69,290.64,3,0,1,4,Mid-value,45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown
134,1,0,6.0,5.0,1.0,0.0,0.0,101.0,0.0,0.0,0.0,5535.089999999951,2,86,3367.0699999999883,188.72000000000006,293.8900000000002,51.79,474.3200000000002,12.950000000000001,2.3,450.25999999999993,3,0,1,4,Mid-value,55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown
136,1,0,3.0,2.0,1.0,0.0,0.0,49.0,0.0,0.0,0.0,2804.8199999999956,17,77,1828.8100000000052,103.03000000000002,209.0,0.0,147.14999999999992,1.79,0.0,171.42000000000002,3,0,1,4,Mid-value,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
139,1,1,2.0,2.0,0.0,0.0,9.0,32.0,9.0,4.5,0.28,3073.329999999995,1,83,1470.3400000000013,103.68999999999998,415.47000000000037,275.59000000000003,341.9300000000002,23.979999999999997,0.0,145.73000000000005,3,0,1,4,Mid-value,35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown
149,1,0,8.0,5.0,3.0,0.0,0.0,121.0,0.0,0.0,0.0,11920.929999999906,60,215,5027.429999999949,814.0499999999998,855.0900000000014,2879.4100000000003,1109.400000000002,14.45,5.23,544.28,2,1,3,6,Mid-value,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
155,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2101.0500000000015,6,52,1417.2400000000034,157.07000000000002,39.12000000000001,0.0,101.38,0.0,0.0,123.49,3,0,0,3,Low-value,35-44,B,50-74K,Homeowner,2 Adults Kids,3,1
157,1,0,5.0,3.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,2748.9499999999907,2,172,1704.1100000000035,2.99,172.93999999999997,0.0,385.1500000000002,77.28999999999999,0.0,73.77,3,1,1,5,Mid-value,19-24,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
158,1,1,4.0,3.0,1.0,0.0,1.0,66.0,1.0,0.25,0.02,1869.7900000000018,7,180,586.3300000000003,9.06,90.01,0.0,933.0700000000004,0.0,0.0,191.63,3,1,0,4,Mid-value,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
159,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2143.870000000002,14,86,1162.7100000000007,25.32,149.92999999999998,34.0,91.02999999999999,0.0,16.52,128.60999999999999,3,0,0,3,Low-value,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
161,1,0,3.0,2.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,6071.5199999999595,1,266,3996.919999999987,45.44,229.07000000000005,238.5,569.1700000000003,0.0,0.0,512.2600000000003,3,1,2,6,Mid-value,19-24,A,75-99K,Unknown,2 Adults Kids,3,1
164,1,1,4.0,2.0,2.0,0.0,6.0,53.0,6.0,1.5,0.11,4272.409999999974,3,116,2771.87,67.85999999999999,155.53,148.0,481.67000000000047,1.0,4.02,119.25,3,1,1,5,Mid-value,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
165,1,1,7.0,5.0,2.0,0.0,2.0,121.0,2.0,0.29,0.02,2995.4699999999966,1,174,1016.1399999999994,5.0,244.59000000000012,658.2599999999999,150.71000000000004,65.76000000000002,0.0,525.0799999999999,3,1,1,5,Mid-value,55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
166,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,3059.689999999995,5,122,1620.0300000000018,96.55000000000001,76.52,0.0,871.4900000000014,4.38,8.66,115.28,3,1,1,5,Mid-value,25-34,A,50-74K,Homeowner,2 Adults Kids,3,1
170,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.5100000000036,18,45,1014.7900000000002,13.42,291.1300000000001,24.78,331.30000000000024,17.840000000000003,0.0,106.39999999999998,3,0,0,3,Low-value,25-34,A,100-124K,Homeowner,2 Adults Kids,4,2
178,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028.470000000001,0,119,747.8900000000001,51.39,15.05,0.0,1112.03,0.0,1.48,8.58,3,1,0,4,Mid-value,25-34,A,25-34K,Homeowner,1 Adult Kids,5+,3+
184,1,1,5.0,2.0,3.0,0.0,4.0,70.0,4.0,0.8,0.06,7090.069999999947,0,257,2406.1100000000006,68.81,371.6100000000002,1347.97,881.8500000000007,53.550000000000004,0.0,1374.4400000000007,3,1,2,6,Mid-value,45-54,U,25-34K,Unknown,Single Male,1,None/Unknown
192,1,1,5.0,3.0,2.0,0.0,2.0,86.0,2.0,0.4,0.02,3778.0799999999786,1,95,2598.419999999995,0.0,225.64000000000004,0.0,301.67999999999995,2.49,0.0,329.5999999999999,3,0,1,4,Mid-value,45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown
193,1,0,5.0,4.0,1.0,0.0,0.0,83.0,0.0,0.0,0.0,4814.659999999979,17,136,2187.4100000000035,86.64,45.86,1786.77,308.1300000000001,4.38,10.89,119.24,3,1,1,5,Mid-value,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
198,1,0,10.0,3.0,5.0,2.0,0.0,164.0,0.0,0.0,0.0,8659.169999999907,2,461,4703.979999999979,98.86999999999999,475.5300000000002,0.0,1386.9800000000032,25.32,110.49,1075.6600000000003,3,2,2,7,High-value,35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1
201,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435.170000000002,7,48,815.68,13.31,133.20999999999995,0.0,145.57000000000002,0.0,0.0,102.27,3,0,0,3,Low-value,45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+
208,1,1,8.0,5.0,3.0,0.0,6.0,153.0,6.0,0.75,0.04,4296.329999999981,10,140,2092.080000000006,125.52000000000001,304.29,527.4599999999999,315.3700000000001,0.0,0.0,665.3000000000001,3,1,1,5,Mid-value,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
209,1,0,5.0,3.0,2.0,0.0,0.0,84.0,0.0,0.0,0.0,6876.559999999961,1,196,3182.689999999994,144.37,287.1400000000001,1173.79,760.1000000000005,18.43,4.15,531.8899999999999,3,1,2,6,Mid-value,45-54,U,25-34K,Homeowner,2 Adults Kids,3,1
211,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2244.0600000000036,1,112,1750.0500000000063,0.0,212.28,0.0,111.37999999999998,1.79,0.0,85.38000000000001,3,1,0,4,Mid-value,65+,A,35-49K,Homeowner,Single Female,2,None/Unknown
212,1,0,5.0,4.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,3052.659999999983,14,109,1683.1000000000042,77.55,280.2000000000001,97.39,508.2800000000005,10.17,0.0,115.49,3,1,1,5,Mid-value,35-44,U,Under 15K,Unknown,Single Female,1,None/Unknown
214,1,1,4.0,3.0,1.0,0.0,1.0,81.0,1.0,0.25,0.01,2657.9099999999885,7,86,1898.04,11.920000000000002,163.29999999999998,0.0,189.49000000000004,43.66000000000001,17.44,96.22999999999998,3,0,1,4,Mid-value,55-64,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
216,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2624.4999999999964,0,120,1230.6400000000008,247.08000000000007,143.55999999999997,0.0,511.7599999999999,5.29,5.6899999999999995,151.35000000000002,3,1,1,5,Mid-value,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown
218,1,0,4.0,3.0,1.0,0.0,0.0,67.0,0.0,0.0,0.0,9211.719999999917,0,164,3111.3599999999906,267.2800000000001,483.6900000000005,1188.6100000000001,1268.8800000000022,15.840000000000002,26.640000000000004,700.9000000000004,3,1,2,6,Mid-value,45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
219,1,0,7.0,5.0,2.0,0.0,0.0,113.0,0.0,0.0,0.0,11884.789999999895,2,228,5371.329999999961,537.9800000000002,2005.5300000000027,189.93,1252.3400000000017,227.58000000000013,24.060000000000002,840.77,3,1,3,7,High-value,55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown
220,1,0,3.0,2.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,2525.239999999996,32,91,1148.88,26.240000000000002,148.35999999999993,174.08999999999997,347.46000000000004,4.0,0.0,58.379999999999995,3,0,1,4,Mid-value,45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
221,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2879.2899999999972,16,79,1949.8500000000045,318.21999999999986,28.180000000000003,31.03,220.99999999999997,0.0,0.0,5.18,3,0,1,4,Mid-value,65+,U,15-24K,Unknown,Unknown,1,None/Unknown
222,1,1,3.0,3.0,0.0,0.0,1.0,48.0,1.0,0.33,0.02,5897.8999999999205,2,130,2945.960000000013,136.70999999999998,742.0700000000012,504.59,583.07,12.55,0.0,570.4000000000001,3,1,2,6,Mid-value,35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
230,1,0,4.0,3.0,1.0,0.0,0.0,65.0,0.0,0.0,0.0,4521.009999999968,0,168,2569.0999999999995,25.979999999999997,344.7400000000001,370.78999999999996,161.05999999999995,4.48,20.94,469.76000000000016,3,1,1,5,Mid-value,25-34,U,25-34K,Unknown,Single Female,1,None/Unknown
232,1,1,7.0,3.0,4.0,0.0,1.0,93.0,1.0,0.14,0.01,12695.569999999942,39,631,6606.379999999942,273.25,488.4300000000007,1921.68,2006.179999999999,50.629999999999995,22.450000000000003,583.0900000000001,3,2,3,8,High-value,35-44,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
235,1,0,7.0,5.0,1.0,1.0,0.0,124.0,0.0,0.0,0.0,12156.639999999885,3,200,6201.43999999996,751.4000000000007,865.960000000001,946.53,1514.9900000000016,85.08000000000001,22.520000000000003,534.5199999999999,3,1,3,7,High-value,35-44,A,250K+,Homeowner,2 Adults Kids,5+,3+
239,1,1,9.0,5.0,2.0,2.0,14.0,167.0,14.0,1.56,0.08,4671.199999999953,0,264,2231.840000000007,158.72999999999993,517.1200000000003,0.0,607.9600000000004,2.17,4.36,355.9300000000001,3,1,1,5,Mid-value,45-54,U,50-74K,Renter,Unknown,1,None/Unknown
242,1,0,5.0,3.0,2.0,0.0,0.0,76.0,0.0,0.0,0.0,5231.799999999973,0,87,2499.28,378.9199999999999,409.29000000000036,0.0,1003.7500000000003,7.25,1.96,231.92999999999995,3,0,1,4,Mid-value,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+
243,1,1,7.0,3.0,4.0,0.0,4.0,108.0,4.0,0.57,0.04,8074.1199999999035,1,250,2824.0999999999976,262.33000000000004,1354.4600000000019,1444.0799999999995,1102.2000000000016,185.67000000000002,141.8,94.91999999999999,3,1,2,6,Mid-value,65+,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
248,1,1,3.0,1.0,2.0,0.0,6.0,54.0,6.0,2.0,0.11,6039.009999999961,7,57,3801.989999999988,200.19000000000003,449.1200000000003,165.0,210.89000000000001,22.97,0.0,346.6,3,0,2,5,Mid-value,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2
249,1,1,3.0,3.0,0.0,0.0,1.0,48.0,1.0,0.33,0.02,2823.229999999992,7,137,1317.6900000000023,26.160000000000004,116.75999999999999,72.0,613.7300000000004,0.0,0.0,227.48,3,1,1,5,Mid-value,35-44,A,Under 15K,Renter,Unknown,3,1
